component,model,fixed_configuration,role
utility_probe,LogisticRegression,training-median imputation; training-fitted StandardScaler; penalty=L2; C=1; solver=lbfgs; class_weight=balanced; max_iter=2000; random_state=42,fixed linear probe of accessible utility information
pairwise_and_gallery_linkability,XGBoost,absolute representation differences; binary-logistic XGBClassifier; 200 trees; max_depth=4; learning_rate=0.05; subsample=0.8; colsample_bytree=0.8; eval_metric=logloss; random_state=42; 2000 positive and 2000 negative pairs per split; minimum segment gap=4; at most 3 positive pairs per record,fixed nonlinear attacker on absolute representation differences
linear_compression_controls,PCA and Gaussian random projection,PCA(whiten=False) and GaussianRandomProjection; 8-D in the main matched comparison; 64-D sensitivity; transformations fitted on training rows only; split seed used as random_state,data-dependent and data-independent linear controls
supervised_encoder,MLPClassifier,"training-median imputation and StandardScaler; MLPClassifier hidden layers=(128,8), with the final hidden activation released; ReLU; Adam; alpha=1e-4; batch=1024; learning_rate_init=1e-3; max_iter=25; early_stopping=True; validation_fraction=0.1; n_iter_no_change=8; split seed as random_state; at most 40000 class-balanced training segments",utility-supervised representation generator with a fixed computational budget
attribute_attackers,XGBoost classifier/regressor,"training-median imputation; 200 trees; max_depth=4; learning_rate=0.05; subsample=0.8; colsample_bytree=0.8; tree_method=hist; n_jobs=4; split seed as random_state; classifiers use objective=binary:logistic, eval_metric=logloss, and training class ratio; age regressor uses objective=reg:squarederror and eval_metric=rmse",fixed-capacity tabular attribute attackers
linear_reconstruction_attacker,Ridge,"training-median imputation and StandardScaler on released inputs; training-fitted StandardScaler on 128 target-PCA scores; Ridge alpha=1, fit_intercept=True, solver=auto",linear inversion baseline
nonlinear_reconstruction_attacker,MLPRegressor,"same input and target-score scaling as Ridge; MLPRegressor hidden layers=(256,128); squared-error loss; ReLU; Adam; alpha=1e-4; batch=256; learning_rate_init=1e-3; max_iter=100; early_stopping=True; validation_fraction=0.1; n_iter_no_change=10; split seed as random_state",nonlinear inversion attacker
waveform_target_compression,PCA,PCA with 128 components; randomized SVD; iterated_power=3; split seed as random_state; fitted only on training waveforms,"computational approximation, audited through its direct-reconstruction ceiling"
gaussian_perturbation,L2 clipping plus isotropic Gaussian noise,"standardize embeddings; clip to C in {2,4}; add isotropic Gaussian noise with sigma in {0.3876,0.7752}; noise multiplier=sigma/C=0.1938; no nominal epsilon/delta parametrization","two representative operating points, not an optimized or end-to-end DP mechanism"
software,scikit-learn and XGBoost,scikit-learn=1.7.2; XGBoost=3.2.0; NumPy=2.2.6; pandas=2.3.3; SciPy=1.15.3,versions used to reproduce the reported estimators and metrics
